 New_cases,Temperature ,Specific Humidity,Relative Humidity,Wind Speed(50)
88600,7.64,17.31,86.06,4.63
82170,8.38,16.01,81.49,4.86
70589,8.74,16.99,84.31,4.96
80472,6,18.09,88.69,4.26
86821,7.4,17.75,86.95,5.39
81484,7.75,18.56,86.13,5.61
79476,7.73,18.58,85.31,4.79
75829,8.52,17.97,84.57,5.09
74442,8.33,17.86,84.79,4.98
61267,8.79,15.72,76.17,3.92
72049,9.55,14.69,73.12,3.18
78524,5.1,15.24,79.32,3.29
70496,5.88,16.73,86.01,2.83
73272,6.53,15.62,83.65,3.73
74383,7.07,17.47,90.34,4.6
66732,7.99,17.95,88.38,4.33
55342,6.12,18.68,90.21,2.92
63509,4.2,18.4,93.99,5.63
67708,5.27,19.35,90.6,6.9
63371,6.21,19.1,88.77,5.43
62212,5.59,19.18,89.28,3.39
61871,6.83,19.42,87.55,3.61
55722,7.89,18.41,80.96,1.95
46790,8.47,18.61,81.72,2.2
54044,7.13,19.1,84.79,2.45
55839,7.79,18.01,80.97,2.76
54366,7.98,17.01,79,1.95
53370,7.69,17.24,82.49,2.55
50129,7.52,15.17,85.35,2.31
45148,9.64,15.25,78.1,2.03
